name,latitude,longitude,ratings,no_of_reviews,hotel type,small_photo,price,services,services2,services3,services4,category
Hotel Satyam,27.6286708,85.5233127,3.9,21,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5F9bJ1ne8lxfEDEa13hH7UbINJbhMyZlHsikYEGZwNxt8vQdX_NADUaHNjXyIqLAe9BjKipurZ18jvTK5ZLnp4plOiAJxb5sxGUsdH-CJdNsA3VEHItSbhKFxgNYKpGF07ynBeVdMhtIm4hboptUbAh6olVD6CQMlB16p5A_Qsn9EkEMTKgtTAI0A=w1200-h1200-k-no,"NPR 3,410",Free Wi-Fi,Wi-Fi,Parking,Restaurant,hotel
Madhuban Hotel,27.7207029,85.3102109,4.9,46,Lodge,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EVv-poj0DFsr2bh_96cq3MHaVuNuiB3xUCeRk72_CJxws83XK8HwkUgsT7bFqjj8dmeqZWWc3cq3CtJO1vKjJ2EZ_QvETBeYSUsEx2tBW4Z3JBK-TVj8cigNw8yZb4OPVk48vHqWgTW-hHBUIKOy8uTNjxoN0wm709LDCKmY_a2gdzEIkpKfm4=w1200-h1200-k-no,"NPR 2,807",Spa,Free parking,Free Wi-Fi,Air-conditioned,hotel
Hotel River Land,27.7050197,85.348853,3.8,8,Hotel,https://lh5.googleusercontent.com/p/AF1QipMKP9fe75LlzCAijb_2IeN56PLQLErFMvPG0u-L=w1200-h1200-k-no,"NPR 1,577",Free parking,Free Wi-Fi,Air-conditioned,Breakfast,hotel
Hotel Yeti Home,27.7160919,85.3100663,4.1,56,Hotel,https://lh5.googleusercontent.com/p/AF1QipNcUDrA8ZQAjI1KV9P8NEo2wclUOU18vNgxwYP3=w1200-h1200-k-no,"NPR 1,050",Free Wi-Fi,Wi-Fi,Airport shuttle,Restaurant,hotel
Hotel Heranya,27.7187478,85.3205788,4.3,152,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5G0ivQf_V5iuofSt2CcPn42xQwlw6NQmQjogz6Q9lpJVdVNa5Ytu0ZP4WwNVESE2u3ZkPLxM51-cb60x16jcPHioyHOry-W-cQ88mtknI1SDwaCix3HYpiZ5BHeHgrXTR6xP11BUZrrcJgidB52_pZ63WMuhnub6v3vGwamUx6cEUWf9pyjq8M=w1200-h1200-k-no,"NPR 3,674",Free parking,Free Wi-Fi,Wi-Fi,Airport shuttle,hotel
Aarya Chaitya Inn,27.7223817,85.3606853,4.5,86,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5GdRjQ4o0luH1TXCnfVwY1MEN76XG9Pw_yxQnO9Lo56npIW7V8GvwwdWdEM0ZpzgR_0Cjbw4m8NY5sKPrKwOjXLRi5mMAgqZkGBJ3922MjevbTf0AZU_DRq1mvEMdnEap3Upv8O2kL5fT_0_4DqHj54QbX4l0oFgpTG5BAXoQTxztxJQTEecg8=w1200-h1200-k-no,"NPR 2,356",Free Wi-Fi,Wi-Fi,Airport shuttle,Restaurant,hotel
Hotel Pabera Heritage Boutique,27.7725448,85.3592681,4.5,131,4-star hotel,https://lh5.googleusercontent.com/p/AF1QipOnAL8GkW57Zq4XCWhhbpzEJ-OcicJmrrpbHZqu=w1200-h1200-k-no,"NPR 6,888",Pool,Free parking,Free Wi-Fi,Breakfast,hotel
Boudha Motel Lodge,27.7161599,85.3597607,4.3,18,Lodge,https://lh5.googleusercontent.com/p/AF1QipOPfV4DGBewwZdXLDTAr3EmkgfKr6yvTC7bo7ov=w1200-h1200-k-no,"NPR 1,452",,,,,hotel
Hotel Bhadgaon,27.6670421,85.4248424,4.7,184,Hotel,https://lh5.googleusercontent.com/p/AF1QipNztAE4pBZTIxEc3gqva0kXKFqbEMCuJuPd_3jD=w1200-h1200-k-no,"NPR 7,775",Pool,Free parking,Free Wi-Fi,Wi-Fi,hotel
Hotel Encounter,27.7187797,85.3122899,4.2,296,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EMCilkEIxCDH-Oerxz-9qMw0xOPlNar-wqzzC1oqUrpOWXHa_SNDyFCXjKNDJpHURjFji09EuarmKKp82ZxoLThobD3aACfMmFZV1FgGPKPxlz51ypH2hWm4FOhBim1GSTjGIwMt1nKY15pP7uSRu1fQCOc_MXvd2ezOx-ew5Ivy1ka7udHjo8SQ=w1200-h1200-k-no,"NPR 2,896",Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,hotel
Bhaktapur Paradise Hotel,27.6590823,85.4232573,4.2,127,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5GimRCU_0y5KD_NB1dF-IUaopeCdDHN0QPaDbEGL4qSMKYNAX4HJI_xJuh72k6Lb1r1d1cEGFGMFTlVBIbEtgwbRsQVTOjQPuzp1mVbEqP5DINblWg2uT0xH93Qx3a_3Qqd-m2iuR2wQphqgURBDQuAfMvUwkVRNdOXvPO_YjE9plvos1w6yHq1oA=w1200-h1200-k-no,"NPR 6,571",Free parking,Free Wi-Fi,Air-conditioned,Wi-Fi,hotel
Hotel Country Villa,27.7263508,85.5252773,4.4,2048,3-star hotel,https://lh5.googleusercontent.com/p/AF1QipMP5d7Xk7a5qqcWOwthy8yPlZTlsr0F-mPhLMFL=w1200-h1200-k-no,NPR 10.5K,Spa,Free parking,Free breakfast,Free Wi-Fi,hotel
MeroStay 119 Inn Sangrahalaya,27.671742,85.428475,,0,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HaWZLgPpjdCuAYDGhSe9Mtb0l2y8xGwCmJ1XlQAsJi_YWzvPS4J3DoOYBmCjVTdJXDtgLWZLhiKEmy6glj02ENdG5V6zP8ZMfN-yceWQdOsjKYFGrWfWYBr8zKixD_VUzf6Srs45r7kFHYCyk-AMIdQSvgYApKo_T1XKhY1UtlW4bBOuzj_YLk=w1200-h1200-k-no,"NPR 3,125",,,,,hotel
Shiva Guest House,27.6718384,85.4286405,3.9,92,2-star hotel,https://lh5.googleusercontent.com/p/AF1QipN2-X-A1xyaOaKjh5Qr3_8eNZq5vhgLMCzdJVWY=w1200-h1200-k-no,"NPR 2,821",Free parking,Free Wi-Fi,Wi-Fi,Airport shuttle,hotel
OYO 136 Hotel Om Plaza,27.701887,85.3504671,3.7,86,3-star hotel,https://lh5.googleusercontent.com/p/AF1QipPxBDfeImr4fZYM_Gq3uPf0WSvVCeM9RH1-ViQk=w1200-h1200-k-no,"NPR 1,700",Free Wi-Fi,Breakfast,Wi-Fi,Restaurant,hotel
Hotel Clarion,27.672255,85.316535,3.7,132,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HVsUTH7gcy3yukRwVo9VX7PsV_O0F0LJ7eQg9_1Pa_lWm3n1cab3DbRGVI_VyEGoq6VDy3nGso9pK7-WTlR579P4DD1zw-xlq6TR2o7ea_b7YLbHPA_9qY_vr-U1TN2vj2zAChtQhmLnLXwV-WKue_41KirPSx_ciY7uc5lmZmhZuKSMHdlCs=w1200-h1200-k-no,"NPR 4,756",Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,hotel
Shaligram Hotel & Spa,27.6710767,85.3117064,4.4,800,5-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EuEKOzo-lu5wXoeKpsHF4UfRJiS_YvWk8sfIv8Rr_O0bVFGmJFGbzeROJcN_iJvdq4uaUR8d46PXYeVTc0_ODGyroDGF30U_zv0OXIWBXH0ieRIuxsaCmOR-c2Rfjnivspjv55BUDOylw1ks6WtvGWUASwhav6cgNvj3po8jECNDFwziSTJLhbu46XfRnY_P2h4w=w1200-h1200-k-no,"NPR 8,718",Pool,Spa,Free parking,Free Wi-Fi,hotel
Shangrila Blu Hotel,27.6826879,85.3145907,4.3,183,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HLTkC3IbZk4kdTmPwey88KAlS7Ui8LMSmy265LLM05YbMWlmqkf4BkkxqbdxM0u_QEjDA8jIe68quX_CXtVCsd6LbqIueJ0ZnpXn76wCq-Ref2hQ90YxXKyvEaVWRjyFiTj4BpgPZX77w33-DEDvVUg_tlx8mlZjqnBqH4Y_kuwZliWgR_R3Km=w1200-h1200-k-no,"NPR 8,542",Free parking,Free Wi-Fi,Wi-Fi,Restaurant,hotel
The Inn Patan,27.674351,85.32592,4.6,101,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5G_QEeph97E4wkq7GCaHDH7DwIyNZDtgIu0PWEzmRodt23l_n_CpicBtt7lpZ0fFJ7OATGRtp4z9siS2RSYTiSF7-fsdEpc3HiqIPBXWpGanvewSy3RECWPT2BE0d_02gG5Ae_nIMjXXZ6A0ejDtPsEKZj7T33VELIMBgsfHXRButFZb4BKhrJ7wQ=w1200-h1200-k-no,NPR 11.1K,Free breakfast,Free Wi-Fi,Breakfast,Wi-Fi,hotel
Sarovar Residency,27.6705275,85.3114515,4.3,75,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HfcAMCWPOK9wq1tqgj2RgjjRYIn0l-NWGOKI8Dz-mdsliaX_p-6Z-f3h--NkzaRFMd8hbejUmy0A5fTIf5jy4jNi1unGgV0VB5LeqU5mABvI9Mhz2mslLZaBXoSHNlRSH3e1ubLDWK1mDy20NYvE_0XywjAxtt65F6_3Zj36NOhpNiC2_fxS4NqA=w1200-h1200-k-no,"NPR 7,885",Free parking,Free Wi-Fi,Wi-Fi,Airport shuttle,hotel
Traditional Stay - A Boutique Hotel,27.6753542,85.3251982,4.7,31,Hotel,https://lh5.googleusercontent.com/p/AF1QipMo9IroCNv0wuP9pPBAOajCirkuTPEanJXUTU-N=w1200-h1200-k-no,"NPR 7,885",Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast,hotel
Shakya House,27.6791254,85.3254774,4.5,71,2-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EtSTLF1BGWa-rnR4esD7F1yCmHnMHSDDjvD1ikMNhcIhUG51zSqqY0UXimKDaAXsvgIRU6wB_tDPo91d3Dob8OPaWXMJ37G8YQA-B1NshNUEhdnhKloXcogcNnIufChgH_VvP09ngN91nl8XW8PjaDU7x3Z4LnNLo_fNKFD1P4NTbjLdqXHuI=w1200-h1200-k-no,"NPR 5,388",Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi,hotel
HOTEL SIRAAJ,27.6713104,85.3162841,4.0,36,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5GTbJqCftbGiGwiyxxWOuZjV9_cU6hUus4CqdzdDyfEBG8SEBgsfQCOzaptTRgZso3851XJB-k_sH7iZSTNET5xSPbapxGCYrIvHgpHIcZx3hICGyrcoaNjnY6WPyYqZtqls62SDyIJIT1ZM1nNd7-XDflM5z_KfHZVlVaBmRA31uHgrHn0Ey4=w1200-h1200-k-no,"NPR 2,497",Free parking,Free Wi-Fi,Air-conditioned,Breakfast,hotel
Hotel Shining Star Krishna,27.6881642,85.3066185,4.2,6,Hotel,https://lh5.googleusercontent.com/p/AF1QipN210JlhZLcVVamEfbt7t8x53QZaE1x65Lmg2mz=w1200-h1200-k-no,,,,,,hotel
Heranya Yala,27.6694008,85.326473,4.3,72,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5G1crGW7kHpziR8KCW0YZPVe3rotfB3D5-knoclw3iSmDWwa-NgUaRyxub3oaRrakNs2gaj0474gN1D7ZUoNCsRgf8WPll_4LtGhSSGR-3FuSclKRrntUXFE1GdgeHcopvltYD8n55pA0ec2kecPiT8ijvf0Tf8uN2thE0ZV4dhn0uSo0hGFV3VMw=w1200-h1200-k-no,"NPR 3,417",Free parking,Free Wi-Fi,Air-conditioned,Breakfast,hotel
Hotel Goodwill,27.6670962,85.3267241,3.7,237,3-star hotel,https://lh5.googleusercontent.com/p/AF1QipPxMNXtgsF9kuZZAPpdwygI7CbjBGOpnE9IyEst=w1200-h1200-k-no,"NPR 7,587",Pool,Free Wi-Fi,Air-conditioned,Breakfast,hotel
Square hotel,27.6782676,85.3133435,4.1,44,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EeUeMyWOt8IznYhY-GO_L5ZTrYxOwpcbo1O4RyYgolBauSMioLZVc3rLPcJHX34--gOT7FyO-hUHRY6ZZflxhsJWGDpIvQA-XrR_1GWrJnYoP_hYAWrX62AMiIWr51mfdduX_5UTN-g-zw3q-Wl70magCcOzJJ8P0bX5gKW9AalfcFsk8D872Z=w1200-h1200-k-no,NPR 16.3K,Pool,Free parking,Free breakfast,Free Wi-Fi,hotel
Hotel Hungry Treat,27.671957,85.315941,3.8,72,Hotel,https://lh5.googleusercontent.com/p/AF1QipOfH0UGD2YMFaoWErAiXPrFTClTwdEUP_NhZDYo=w1200-h1200-k-no,,Free parking,Free Wi-Fi,Wi-Fi,Restaurant,hotel
Pacific hotel,27.6689995,85.3252862,4.0,6,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5FN2lmvsAktl_A55LXipExOHpUSrHTRJpzrvWjGgD2ZCXbF_AIi3L5vLjlUGNaivHHKSBNegvViATW1qTkiOmebh-6d2pV8mTOy8BO2X7h3CQNUyJGmm9wo48I97_LBiAOwgqEHjLPWYF45DYzZKooDvH2JaI3tVxS-YSLL36fUVM1wMr6IGTOsRuE1bpGUTQZ65q4=w1200-h1200-k-no,,,,,,hotel
OYO 262 Hotel Faith,27.6719895,85.3163812,3.9,76,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5H4YV_cFLQqro0vVUzad5sWYd6QXu7QIrNxnZBU8QF9hBdVHuONYgu1lzoAc5LmWnZmc7t5Ellt3NLEx16iEn-6NLjK4rgAumg75-4eb_9DOFCvCtP92cnab_I8HTLDiq1inW9wuVR2aCD7_DU3C0k9KuOH9wLn9_O2jB1YoHd1HqL2v1tQs0QY=w1200-h1200-k-no,,Free Wi-Fi,Wi-Fi,Restaurant,,hotel
KOT Danda Agro Resort,27.560497,85.2997504,4.3,91,Hotel,https://lh5.googleusercontent.com/p/AF1QipPue-VC2WswVvqwkvPUrUiEPHqXHIqmxWCgLM8q=w1200-h1200-k-no,,,,,,hotel
Himalaya Apartment Hotel,27.6759029,85.3133667,4.4,9,2-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5GI0mQrD5FnQhW_mW65KdHm3E5ma7kdEsFLBWKQJ4dW1liPLTq3RegJqjNAhbL7XznEtFaDe7QnsH5RylcN9fVE1CO3pEHfG3d-sO8scr1fRnQHlXRJV6w7ASUtUdWnDwWaEXg84iMYByIbsMlT5M5V98ZXz3C7srCb__USOxzbqqsreQmR8Qw=w1200-h1200-k-no,"NPR 6,561",Free parking,Free Wi-Fi,Wi-Fi,Airport shuttle,hotel
Hotel Timila,27.6745269,85.3261583,4.9,143,3-star hotel,https://lh5.googleusercontent.com/p/AF1QipMy2fsMfaDdsT9rDrx1h6KPVSJwAJut2gNc1r8P=w1200-h1200-k-no,"NPR 6,506",Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast,hotel
Vivanta Kathmandu,27.6769288,85.3112049,4.3,996,4-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5FehSQIq2B1hEfLSCROVCBP2LQjkrUaYQQlFDptN-3Jrkr_O8VF45zGTEfrrqqAEaRTtfWYCxyzI5iIQOpW7PJlCpDaTr4nFrWlbkKkWeCeu8F99KCA-MyYtBr7UPJx8c-GHEal3mxlsICT59BMVnv5vkG4xRx3zsFdS9SLCpWJQL1He2bSwiLF=w1200-h1200-k-no,NPR 16K,Pool,Spa,Free parking,Free Wi-Fi,hotel
Stilly Inn,27.6830076,85.3145765,3.9,14,Hotel,https://lh5.googleusercontent.com/p/AF1QipM5yTNPdt8TuyygK90lfSGXutmiblGJvF9O3Bix=w1200-h1200-k-no,"NPR 2,891",,,,,hotel
Hotel Destination,27.6709123,85.3386198,3.2,42,Hotel,https://lh5.googleusercontent.com/p/AF1QipMCjMyiVpL4da2gyp_S8ffF3DdW5Wr8DDb_b92z=w1200-h1200-k-no,,,,,,hotel
Fresco Retreat,27.6695306,85.3138145,4.3,69,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5FTPcJ0oblBbND_9ICP02Otst8EhprVhgJiAzRVxgRf2ne9KiceWAeUvBygz2sLsWJzz9SYhDFu5k5kAdTO23mzNHczQwOCl9Ee-A5IRVTm4ak3XL0WDW-_yPL4QqiaI66o5wwVGEHd9z6SLu9868gwlqLZoIFBwZ0_224lea9XSdZL8fQzfq8=w1200-h1200-k-no,"NPR 3,995",Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,hotel
Hira Guest House,27.6748686,85.3243769,4.7,38,2-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5Ev_1711IFgGOOvCn-5SfyGKI-FZ1_BcAFeIKP0oOP0moKYOe40CNquEftomsQHNlGQJwgRT4VD9QXO_QUdN1ollECjXxmlVc-8amhrTU6Xbq95Pw4YbJH7DoK4Ks65N9hvUS0ZQidsVYB4w3K1TO_25qWhdFjbhaHZngw2ehz8KlBx_j2824IUhA=w1200-h1200-k-no,"NPR 5,870",Free Wi-Fi,Wi-Fi,Airport shuttle,Restaurant,hotel
Hotel Patan House,27.6746481,85.3243759,4.3,21,3-star hotel,https://lh5.googleusercontent.com/p/AF1QipPMT_3Zk6w3cRKjwe-rgp5I2sEXAvDKeeL0AMQk=w1200-h1200-k-no,"NPR 5,257",Free parking,Free Wi-Fi,Air-conditioned,Breakfast,hotel
OYO 259 Hotel White And Peace,27.6795552,85.3065041,2.7,51,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5FeczGhJnsWRM9bKUhZF2NeJ_PT_kIf04v6layJWIETAHdAXlssMH0v6PhEfp75IK8Y-srGCtesebde260XDGlRyWqdKs_sHtmaXGFNC1bvd3C-1BYmnj36_YHvc8GpgrO62e6aYticrs0JjEn9216ZWGTihz1HgTN7dwkeixY1zdZjkL83gorG=w1200-h1200-k-no,"NPR 3,547",Free Wi-Fi,Breakfast,Wi-Fi,Restaurant,hotel
OYO 547 Hotel Birajman Pvt. Ltd.,27.6830589,85.3115946,3.6,69,Hotel,https://lh5.googleusercontent.com/p/AF1QipNQ1VzrBZVyPRXCMWFPLa9sgwcpQvwBrAmXS_P1=w1200-h1200-k-no,,,,,,hotel
Newa Chen Guest House,27.675311,85.3262262,4.4,120,2-star hotel,https://lh5.googleusercontent.com/p/AF1QipP7hC8Xk-S1dmX2bG6MuPK-8VDCvoia3vq_lvH5=w1200-h1200-k-no,NPR 11.4K,Free breakfast,Free Wi-Fi,Breakfast,Wi-Fi,hotel
Hostmandu,27.685487,85.3045228,4.1,39,Hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5GH6JNdDjO88ZgoMeL7Nc0h46CxlwxZ8HVITN6Ybi4g6gNT_Cf3YVrFQBxJ7HARZypLmq74sCWUOBElOgS2XRHsRkHcSAjNwJjCSE6WV8kuGpssLGq8DzgOEjiKGdVnG35cSRFBJ7nfkUckbxYqNgbVkHt4hN2vivracqSir7k1pW1lw64oJR0h=w1200-h1200-k-no,"NPR 3,496",Free parking,Free Wi-Fi,Wi-Fi,Airport shuttle,hotel
Hotel Ghar,27.6824332,85.3102484,4.1,31,2-star hotel,https://lh5.googleusercontent.com/p/AF1QipNX48TQuwxQE8HqmvhGUL-Ejhw57NYlPXHIYm3t=w1200-h1200-k-no,,Air-conditioned,,,,hotel
Paradise Hills,27.6190458,85.3552703,4.4,70,Resort hotel,https://lh5.googleusercontent.com/p/AF1QipPSzDWyPogLifOE2gibzT_Y179V0qGAWeHx17Hf=w1200-h1200-k-no,,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,hotel
Himal home,27.6672963,85.3333265,3.9,13,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5GeZWXCV3eQyB9UhQdkhSNlTQHJEzAD8BXdftDy3jf_ey_ON0Lr-5GAt7nyDTgPgYt2Q8mz0UBhqqqAjN9jal2jaefRlXDtzdN3Rb7SiHPTcNnrYjiq985dfu7HpwEeEJ1VVsBok2_CH2a0D1FjyWGtE_iI32j-efYgZOu8rj0NKDpr-VUrFJJH=w1200-h1200-k-no,"NPR 1,285",Free Wi-Fi,Wi-Fi,Restaurant,,hotel
Hiranya Guest House,27.6754912,85.3224324,4.6,65,3-star hotel,https://lh3.googleusercontent.com/gps-proxy/AE4_-5Fn4H-WXrA5RYwPfi5fJRo3nb_B3auVu_kFt_zPue401BE9Fd4tIWw1ahfR3SRhArElGbIWFMrshMPYly3U2LpUi7tdIVBOmDTHX6yUP-OxeI7TOJK5k9fIzYYQUhNvDEHRMvw-ghhXD8mVfg5dvgjERHypvyN4G4Gka3RWoUaNPkJJCaQz1L-C=w1200-h1200-k-no,"NPR 3,942",Free parking,Free Wi-Fi,Breakfast,Wi-Fi,hotel
